ID_Venta;Fecha;Hora;Tienda;ID_Producto;Categoria_Producto;Producto;Cantidad;Precio_Unitario;Total;Costo_Total;Margen;Margen_%;Metodo_Pago;Estado
1085;04-03-2024;21:35;Sucursal E;206;Lacteos;Queso Fresco;11;4500;49500;27500;22000;44,44;Efectivo;Completada
1086;13-05-2024;13:09;Sucursal B;202;Panaderia;Pan Integral;5;2500;12500;6000;6500;52;Transferencia;Completada
1087;09-05-2024;15:16;Sucursal A;204;Lacteos;Yogurt Natural;37;3000;111000;55500;55500;50;Efectivo;Completada
1088;07-02-2024;21:48;Sucursal C;207;Bebidas;Cafe Molido;30;5500;165000;90000;75000;45,45;Transferencia;Completada
1089;26-06-2024;8:11;Sucursal C;205;Panaderia;Croissant Chocolate;9;1800;16200;6300;9900;61,11;Efectivo;Completada
1090;04-03-2024;14:10;Sucursal D;206;Lacteos;Queso Fresco;29;4500;130500;72500;58000;44,44;Tarjeta;Completada
1091;30-01-2024;11:18;Sucursal E;203;Bebidas;Jugo Naranja;37;2000;74000;33300;40700;55;Tarjeta;Completada
1092;11-05-2024;15:17;Sucursal E;209;Bebidas;Te Premium;42;4000;168000;84000;84000;50;Tarjeta;Completada
1093;14-01-2024;7:22;Sucursal E;203;Bebidas;Jugo Naranja;38;2000;76000;34200;41800;55;Tarjeta;Completada
1094;24-05-2024;11:39;Sucursal B;201;Lacteos;Leche Entera;14;1500;21000;11200;9800;46,67;Efectivo;Completada
1095;13-05-2024;16:51;Sucursal C;203;Bebidas;Jugo Naranja;8;2000;16000;7200;8800;55;Tarjeta;Completada
1096;03-06-2024;15:32;Sucursal E;204;Lacteos;Yogurt Natural;38;3000;114000;57000;57000;50;Tarjeta;Completada
1097;02-02-2024;11:58;Sucursal B;204;Lacteos;Yogurt Natural;10;3000;30000;15000;15000;50;Tarjeta;Completada
1098;20-05-2024;10:55;Sucursal E;204;Lacteos;Yogurt Natural;24;3000;72000;36000;36000;50;Tarjeta;Completada
1099;05-06-2024;8:26;Sucursal D;204;Lacteos;Yogurt Natural;45;3000;135000;67500;67500;50;Tarjeta;Completada
1100;05-02-2024;11:19;Sucursal C;210;Panaderia;Donas Variadas;27;1200;32400;13500;18900;58,33;Efectivo;Completada
1101;07-02-2024;17:11;Sucursal B;206;Lacteos;Queso Fresco;46;4500;207000;115000;92000;44,44;Transferencia;Completada
1102;20-04-2024;18:43;Sucursal D;208;Lacteos;Mantequilla;43;3500;150500;77400;73100;48,57;Tarjeta;Completada
1103;29-04-2024;18:30;Sucursal B;205;Panaderia;Croissant Chocolate;49;1800;88200;34300;53900;61,11;Tarjeta;Completada
1104;29-01-2024;17:22;Sucursal A;208;Lacteos;Mantequilla;22;3500;77000;39600;37400;48,57;Efectivo;Completada
1105;30-03-2024;21:53;Sucursal A;204;Lacteos;Yogurt Natural;1;3000;3000;1500;1500;50;Tarjeta;Completada
1106;28-05-2024;16:51;Sucursal E;209;Bebidas;Te Premium;9;4000;36000;18000;18000;50;Tarjeta;Completada
1107;04-02-2024;17:37;Sucursal A;204;Lacteos;Yogurt Natural;26;3000;78000;39000;39000;50;Efectivo;Completada
1108;10-06-2024;17:50;Sucursal C;201;Lacteos;Leche Entera;44;1500;66000;35200;30800;46,67;Efectivo;Completada
1109;28-06-2024;7:48;Sucursal E;206;Lacteos;Queso Fresco;24;4500;108000;60000;48000;44,44;Tarjeta;Completada
1110;02-06-2024;13:16;Sucursal E;202;Panaderia;Pan Integral;49;2500;122500;58800;63700;52;Transferencia;Completada
1111;27-04-2024;7:06;Sucursal D;206;Lacteos;Queso Fresco;40;4500;180000;100000;80000;44,44;Tarjeta;Completada
1112;27-06-2024;20:28;Sucursal C;208;Lacteos;Mantequilla;32;3500;112000;57600;54400;48,57;Tarjeta;Completada
1113;23-05-2024;7:13;Sucursal C;208;Lacteos;Mantequilla;18;3500;63000;32400;30600;48,57;Tarjeta;Completada
1114;22-04-2024;7:07;Sucursal C;202;Panaderia;Pan Integral;4;2500;10000;4800;5200;52;Transferencia;Completada
1115;01-02-2024;20:33;Sucursal B;210;Panaderia;Donas Variadas;19;1200;22800;9500;13300;58,33;Tarjeta;Completada
1116;01-02-2024;7:56;Sucursal E;202;Panaderia;Pan Integral;8;2500;20000;9600;10400;52;Efectivo;Completada
1117;12-03-2024;11:02;Sucursal A;206;Lacteos;Queso Fresco;47;4500;211500;117500;94000;44,44;Transferencia;Completada
1118;08-01-2024;14:13;Sucursal C;202;Panaderia;Pan Integral;32;2500;80000;38400;41600;52;Tarjeta;Completada
1119;23-05-2024;12:20;Sucursal D;204;Lacteos;Yogurt Natural;37;3000;111000;55500;55500;50;Tarjeta;Completada
1120;07-01-2024;11:18;Sucursal A;210;Panaderia;Donas Variadas;23;1200;27600;11500;16100;58,33;Efectivo;Completada
1121;29-01-2024;21:04;Sucursal B;202;Panaderia;Pan Integral;1;2500;2500;1200;1300;52;Efectivo;Completada
1122;09-05-2024;11:36;Sucursal D;203;Bebidas;Jugo Naranja;20;2000;40000;18000;22000;55;Tarjeta;Completada
1123;22-02-2024;18:23;Sucursal D;203;Bebidas;Jugo Naranja;22;2000;44000;19800;24200;55;Efectivo;Completada
1124;28-02-2024;20:08;Sucursal A;207;Bebidas;Cafe Molido;17;5500;93500;51000;42500;45,45;Tarjeta;Completada
1125;12-04-2024;10:25;Sucursal C;209;Bebidas;Te Premium;46;4000;184000;92000;92000;50;Tarjeta;Completada
1126;06-02-2024;16:35;Sucursal B;206;Lacteos;Queso Fresco;21;4500;94500;52500;42000;44,44;Tarjeta;Completada
1127;13-06-2024;13:52;Sucursal B;209;Bebidas;Te Premium;12;4000;48000;24000;24000;50;Efectivo;Completada
1128;26-02-2024;8:11;Sucursal C;206;Lacteos;Queso Fresco;40;4500;180000;100000;80000;44,44;Tarjeta;Completada
1129;17-05-2024;18:57;Sucursal B;201;Lacteos;Leche Entera;21;1500;31500;16800;14700;46,67;Tarjeta;Completada
1130;23-02-2024;9:25;Sucursal C;201;Lacteos;Leche Entera;36;1500;54000;28800;25200;46,67;Efectivo;Completada
1131;11-01-2024;14:34;Sucursal A;204;Lacteos;Yogurt Natural;39;3000;117000;58500;58500;50;Transferencia;Completada
1132;31-05-2024;16:35;Sucursal E;206;Lacteos;Queso Fresco;33;4500;148500;82500;66000;44,44;Tarjeta;Completada
1133;21-03-2024;8:52;Sucursal A;202;Panaderia;Pan Integral;26;2500;65000;31200;33800;52;Efectivo;Completada
1134;08-05-2024;14:41;Sucursal E;209;Bebidas;Te Premium;43;4000;172000;86000;86000;50;Tarjeta;Completada
1135;17-04-2024;9:36;Sucursal B;203;Bebidas;Jugo Naranja;12;2000;24000;10800;13200;55;Efectivo;Completada
1136;17-01-2024;21:11;Sucursal A;210;Panaderia;Donas Variadas;49;1200;58800;24500;34300;58,33;Tarjeta;Completada
1137;08-01-2024;11:53;Sucursal A;205;Panaderia;Croissant Chocolate;23;1800;41400;16100;25300;61,11;Tarjeta;Cancelada
1138;29-03-2024;16:46;Sucursal A;210;Panaderia;Donas Variadas;45;1200;54000;22500;31500;58,33;Efectivo;Completada
1139;24-05-2024;12:57;Sucursal B;207;Bebidas;Cafe Molido;21;5500;115500;63000;52500;45,45;Efectivo;Completada
1140;07-01-2024;14:49;Sucursal C;209;Bebidas;Te Premium;48;4000;192000;96000;96000;50;Tarjeta;Completada
1141;25-04-2024;17:41;Sucursal C;207;Bebidas;Cafe Molido;18;5500;99000;54000;45000;45,45;Tarjeta;Completada
1142;31-05-2024;8:02;Sucursal D;203;Bebidas;Jugo Naranja;45;2000;90000;40500;49500;55;Tarjeta;Completada
1143;17-04-2024;19:21;Sucursal A;207;Bebidas;Cafe Molido;4;5500;22000;12000;10000;45,45;Efectivo;Completada
1144;16-01-2024;13:34;Sucursal D;210;Panaderia;Donas Variadas;2;1200;2400;1000;1400;58,33;Transferencia;Completada
1145;13-01-2024;20:51;Sucursal C;202;Panaderia;Pan Integral;39;2500;97500;46800;50700;52;Efectivo;Completada
1146;02-03-2024;14:43;Sucursal D;205;Panaderia;Croissant Chocolate;16;1800;28800;11200;17600;61,11;Transferencia;Completada
1147;01-06-2024;7:29;Sucursal D;207;Bebidas;Cafe Molido;5;5500;27500;15000;12500;45,45;Efectivo;Completada
1148;29-04-2024;20:36;Sucursal D;202;Panaderia;Pan Integral;18;2500;45000;21600;23400;52;Efectivo;Completada
1149;13-03-2024;10:11;Sucursal A;201;Lacteos;Leche Entera;24;1500;36000;19200;16800;46,67;Transferencia;Completada
1150;19-06-2024;8:24;Sucursal C;206;Lacteos;Queso Fresco;13;4500;58500;32500;26000;44,44;Tarjeta;Completada
1151;12-03-2024;20:09;Sucursal E;204;Lacteos;Yogurt Natural;45;3000;135000;67500;67500;50;Efectivo;Completada
1152;17-06-2024;14:05;Sucursal B;201;Lacteos;Leche Entera;3;1500;4500;2400;2100;46,67;Tarjeta;Completada
1153;25-06-2024;16:48;Sucursal C;209;Bebidas;Te Premium;20;4000;80000;40000;40000;50;Efectivo;Completada
1154;26-06-2024;9:31;Sucursal A;202;Panaderia;Pan Integral;24;2500;60000;28800;31200;52;Tarjeta;Completada
1155;04-05-2024;20:36;Sucursal A;209;Bebidas;Te Premium;4;4000;16000;8000;8000;50;Efectivo;Completada
1156;07-03-2024;8:11;Sucursal C;209;Bebidas;Te Premium;25;4000;100000;50000;50000;50;Efectivo;Completada
1157;25-01-2024;14:59;Sucursal C;205;Panaderia;Croissant Chocolate;34;1800;61200;23800;37400;61,11;Efectivo;Completada
1158;12-05-2024;11:59;Sucursal B;210;Panaderia;Donas Variadas;6;1200;7200;3000;4200;58,33;Efectivo;Completada
1159;21-03-2024;20:28;Sucursal E;202;Panaderia;Pan Integral;32;2500;80000;38400;41600;52;Transferencia;Completada
1160;09-02-2024;19:32;Sucursal C;202;Panaderia;Pan Integral;13;2500;32500;15600;16900;52;Transferencia;Completada
1161;16-06-2024;15:12;Sucursal C;201;Lacteos;Leche Entera;48;1500;72000;38400;33600;46,67;Tarjeta;Completada
1162;18-06-2024;18:06;Sucursal C;204;Lacteos;Yogurt Natural;38;3000;114000;57000;57000;50;Transferencia;Cancelada
1163;31-01-2024;17:52;Sucursal B;207;Bebidas;Cafe Molido;10;5500;55000;30000;25000;45,45;Tarjeta;Completada
1164;09-04-2024;18:38;Sucursal E;202;Panaderia;Pan Integral;29;2500;72500;34800;37700;52;Efectivo;Completada
1165;03-06-2024;14:30;Sucursal A;201;Lacteos;Leche Entera;17;1500;25500;13600;11900;46,67;Efectivo;Completada
1166;18-04-2024;13:09;Sucursal C;203;Bebidas;Jugo Naranja;30;2000;60000;27000;33000;55;Tarjeta;Completada
1167;04-06-2024;10:19;Sucursal E;205;Panaderia;Croissant Chocolate;22;1800;39600;15400;24200;61,11;Tarjeta;Completada
1168;17-01-2024;12:00;Sucursal A;206;Lacteos;Queso Fresco;10;4500;45000;25000;20000;44,44;Efectivo;Completada
1169;19-02-2024;10:11;Sucursal C;204;Lacteos;Yogurt Natural;35;3000;105000;52500;52500;50;Efectivo;Completada
1170;13-05-2024;16:33;Sucursal C;203;Bebidas;Jugo Naranja;23;2000;46000;20700;25300;55;Efectivo;Cancelada
1171;08-04-2024;17:51;Sucursal E;209;Bebidas;Te Premium;29;4000;116000;58000;58000;50;Tarjeta;Completada
1172;24-03-2024;9:16;Sucursal C;206;Lacteos;Queso Fresco;27;4500;121500;67500;54000;44,44;Transferencia;Completada
1173;21-01-2024;12:18;Sucursal C;205;Panaderia;Croissant Chocolate;20;1800;36000;14000;22000;61,11;Efectivo;Cancelada
1174;01-01-2024;21:33;Sucursal D;210;Panaderia;Donas Variadas;38;1200;45600;19000;26600;58,33;Efectivo;Completada
1175;25-01-2024;21:43;Sucursal D;208;Lacteos;Mantequilla;18;3500;63000;32400;30600;48,57;Tarjeta;Cancelada
1176;22-06-2024;11:07;Sucursal A;209;Bebidas;Te Premium;29;4000;116000;58000;58000;50;Tarjeta;Completada
1177;10-05-2024;10:45;Sucursal D;205;Panaderia;Croissant Chocolate;3;1800;5400;2100;3300;61,11;Tarjeta;Completada
1178;17-01-2024;12:47;Sucursal D;204;Lacteos;Yogurt Natural;9;3000;27000;13500;13500;50;Tarjeta;Completada
1179;26-04-2024;7:07;Sucursal C;202;Panaderia;Pan Integral;13;2500;32500;15600;16900;52;Tarjeta;Completada
1180;22-03-2024;15:32;Sucursal C;206;Lacteos;Queso Fresco;45;4500;202500;112500;90000;44,44;Transferencia;Completada
1181;11-01-2024;15:16;Sucursal C;206;Lacteos;Queso Fresco;24;4500;108000;60000;48000;44,44;Efectivo;Completada
1182;20-03-2024;7:09;Sucursal D;206;Lacteos;Queso Fresco;20;4500;90000;50000;40000;44,44;Tarjeta;Completada
1183;06-04-2024;15:12;Sucursal A;202;Panaderia;Pan Integral;33;2500;82500;39600;42900;52;Efectivo;Completada
1184;02-06-2024;13:25;Sucursal B;206;Lacteos;Queso Fresco;38;4500;171000;95000;76000;44,44;Tarjeta;Completada
1185;15-04-2024;14:10;Sucursal D;207;Bebidas;Cafe Molido;49;5500;269500;147000;122500;45,45;Efectivo;Completada
1186;09-01-2024;21:31;Sucursal A;206;Lacteos;Queso Fresco;39;4500;175500;97500;78000;44,44;Efectivo;Completada
1187;12-03-2024;20:46;Sucursal D;202;Panaderia;Pan Integral;20;2500;50000;24000;26000;52;Tarjeta;Completada
1188;24-03-2024;16:02;Sucursal B;204;Lacteos;Yogurt Natural;22;3000;66000;33000;33000;50;Efectivo;Completada
1189;14-01-2024;18:12;Sucursal D;202;Panaderia;Pan Integral;23;2500;57500;27600;29900;52;Tarjeta;Completada
1190;26-05-2024;14:28;Sucursal D;207;Bebidas;Cafe Molido;45;5500;247500;135000;112500;45,45;Tarjeta;Completada
1191;20-02-2024;12:36;Sucursal B;202;Panaderia;Pan Integral;19;2500;47500;22800;24700;52;Transferencia;Cancelada
1192;10-05-2024;19:28;Sucursal C;210;Panaderia;Donas Variadas;35;1200;42000;17500;24500;58,33;Tarjeta;Completada
1193;14-05-2024;16:23;Sucursal E;201;Lacteos;Leche Entera;31;1500;46500;24800;21700;46,67;Tarjeta;Completada
1194;17-04-2024;8:48;Sucursal D;204;Lacteos;Yogurt Natural;24;3000;72000;36000;36000;50;Tarjeta;Completada
1195;26-04-2024;21:33;Sucursal D;202;Panaderia;Pan Integral;2;2500;5000;2400;2600;52;Tarjeta;Completada
1196;24-04-2024;9:44;Sucursal E;210;Panaderia;Donas Variadas;12;1200;14400;6000;8400;58,33;Tarjeta;Completada
1197;08-04-2024;20:22;Sucursal D;210;Panaderia;Donas Variadas;48;1200;57600;24000;33600;58,33;Tarjeta;Completada
1198;02-01-2024;12:44;Sucursal E;207;Bebidas;Cafe Molido;5;5500;27500;15000;12500;45,45;Tarjeta;Completada
1199;04-05-2024;8:38;Sucursal A;208;Lacteos;Mantequilla;20;3500;70000;36000;34000;48,57;Efectivo;Completada
1200;28-01-2024;11:00;Sucursal C;202;Panaderia;Pan Integral;37;2500;92500;44400;48100;52;Tarjeta;Completada
1201;14-02-2024;9:53;Sucursal C;207;Bebidas;Cafe Molido;10;5500;55000;30000;25000;45,45;Efectivo;Completada
1202;10-01-2024;10:07;Sucursal A;209;Bebidas;Te Premium;5;4000;20000;10000;10000;50;Tarjeta;Completada
1203;04-03-2024;15:42;Sucursal D;206;Lacteos;Queso Fresco;28;4500;126000;70000;56000;44,44;Tarjeta;Completada
1204;13-06-2024;14:27;Sucursal A;201;Lacteos;Leche Entera;44;1500;66000;35200;30800;46,67;Transferencia;Completada
1205;27-05-2024;21:36;Sucursal B;202;Panaderia;Pan Integral;9;2500;22500;10800;11700;52;Transferencia;Completada
1206;28-04-2024;7:48;Sucursal E;203;Bebidas;Jugo Naranja;5;2000;10000;4500;5500;55;Tarjeta;Completada
1207;20-01-2024;17:42;Sucursal B;205;Panaderia;Croissant Chocolate;24;1800;43200;16800;26400;61,11;Efectivo;Completada
1208;29-01-2024;18:37;Sucursal C;209;Bebidas;Te Premium;23;4000;92000;46000;46000;50;Efectivo;Completada
1209;14-02-2024;18:54;Sucursal B;204;Lacteos;Yogurt Natural;42;3000;126000;63000;63000;50;Efectivo;Completada
1210;08-01-2024;12:46;Sucursal E;206;Lacteos;Queso Fresco;47;4500;211500;117500;94000;44,44;Tarjeta;Completada
1211;19-06-2024;7:25;Sucursal B;210;Panaderia;Donas Variadas;18;1200;21600;9000;12600;58,33;Transferencia;Completada
1212;16-03-2024;10:32;Sucursal A;208;Lacteos;Mantequilla;46;3500;161000;82800;78200;48,57;Tarjeta;Completada
1213;21-05-2024;16:27;Sucursal E;205;Panaderia;Croissant Chocolate;41;1800;73800;28700;45100;61,11;Efectivo;Completada
1214;03-03-2024;15:47;Sucursal A;209;Bebidas;Te Premium;41;4000;164000;82000;82000;50;Tarjeta;Completada
1215;07-06-2024;8:37;Sucursal C;209;Bebidas;Te Premium;4;4000;16000;8000;8000;50;Efectivo;Completada
